assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,3,89,0,0,1,123354,None,,0,0,-1,1,5.9,429,159,None,,1,2,0.0,0.0,0,Kortney,0.0,9,1,17.3,376,138,36,False,102.8,357,139,397,Abdominal injury - Unknown return date,2022-03-18T14:30:16.503980Z,44,0,0,None,0,,123354.jpg,2.9,0,0,Hause,0.2,False,None,i,2,7,64.0,315,104,20,40478,9,41421,496,0.0,4.5,Hause,0
0,0,4,0,0,0,148508,None,,0,0,-1,1,2.0,445,209,None,,0,3,0.0,0.0,0,Mahmoud Ahmed,0.0,1,0,1.4,485,210,37,False,1.8,497,216,10,Joined Istanbul Basaksehir on loan until the end of the season,2022-01-01T17:00:18.616625Z,54,0,0,None,0,,148508.jpg,1.0,0,0,Ibrahim Hassan,0.0,False,None,u,2,7,10.0,404,193,1,3656,0,3989,8,0.0,0.2,Trézéguet,0
4,12,468,100,100,9,149484,None,,0,0,0,0,116.7,225,61,None,,3,2,4.0,3.5,1,Tyrone,4.0,35,1,91.6,123,25,38,False,519.2,60,21,2378,,2021-12-27T01:30:11.125924Z,50,0,0,None,0,,149484.jpg,3.7,0,0,Mings,6.4,False,None,a,2,7,281.0,129,18,99,924193,4411,1100150,12746,0.8,19.8,Mings,9
2,9,289,100,100,8,178301,None,,0,0,0,0,328.4,84,12,None,,1,4,2.5,2.0,2,Ollie,2.5,34,7,168.8,25,7,40,False,414.8,105,7,2163,,2022-01-02T21:00:19.804743Z,75,0,0,3,0,,178301.jpg,3.3,0,0,Watkins,9.5,False,None,a,2,7,946.0,9,4,87,2939913,13990,2453817,48772,0.3,11.6,Watkins,6
0,0,96,50,0,1,184704,None,,0,0,-1,1,39.5,348,177,None,,0,3,0.0,0.0,0,Marvelous,0.0,16,0,15.9,389,169,41,False,118.2,338,144,754,Knee injury - 50% chance of playing,2021-12-13T15:00:10.417277Z,44,0,0,None,0,,184704.jpg,1.3,0,0,Nakamba,0.1,False,None,d,2,7,0.0,558,215,16,24568,9,31697,80,0.0,3.6,Nakamba,4
4,5,279,100,100,6,195546,None,,0,0,-3,3,503.7,31,23,None,,2,3,2.0,1.5,2,Emiliano,2.0,26,2,124.5,56,36,43,False,353.8,141,51,1531,,2022-02-10T01:00:14.690772Z,62,0,0,None,0,,195546.jpg,2.9,0,0,Buendía Stati,1.0,False,None,a,2,7,386.0,75,45,75,185545,251,518465,2229,0.3,12.1,Buendía,1
3,11,494,100,100,11,199796,None,,1,-1,3,-3,360.3,73,13,None,,3,2,8.0,7.5,2,Matthew,8.0,36,3,129.7,50,4,44,False,581.8,35,10,2567,,2021-10-18T09:00:15.283229Z,53,0,0,None,0,,199796.jpg,4.1,0,0,Cash,9.7,False,None,a,2,7,355.0,85,3,120,1343343,34544,677449,33839,1.5,22.6,Cash,8
0,4,310,100,100,7,199798,None,,0,0,-1,1,52.1,316,104,None,,1,2,0.5,0.0,2,Ezri,0.5,34,2,61.4,221,69,45,False,352.8,144,57,1978,,2022-03-05T23:30:14.908496Z,49,0,0,None,0,,199798.jpg,3.0,2,0,Konsa Ngoyo,0.9,False,None,a,2,7,211.0,166,31,68,215057,330,236351,1566,0.1,13.9,Konsa,3
0,0,0,0,0,0,203368,None,,0,0,0,0,0.0,613,235,None,,0,2,0.0,0.0,0,Frédéric,0.0,0,0,0.0,622,235,46,False,0.0,620,236,0,Joined Strasbourg on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.208512Z,45,0,0,None,0,,203368.jpg,0.0,0,0,Guilbert,0.0,False,None,u,2,7,0.0,596,233,0,449,0,2031,3,0.0,0.0,Guilbert,0
0,0,2,0,0,0,213345,None,,0,0,-1,1,0.5,470,66,None,,0,4,0.0,0.0,0,Wesley,0.0,0,0,0.0,699,87,47,False,0.0,699,87,1,Season-long loan to Club Brugge,2021-09-13T08:02:12.064717Z,54,0,0,None,0,,213345.jpg,1.0,0,0,Moraes,0.1,False,None,u,2,7,0.0,695,87,1,9629,0,27182,20,0.0,0.2,Wesley,0
