first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
Çaglar,Söyüncü,1,1,123,2970,31,78.2,748.2,236.0,12,676,106.5,12,0,4,16.3,50
Wes,Morgan,0,0,9,160,1,0.7,45.8,36.0,0,35,8.2,0,0,0,0.6,41
Jamie,Vardy,22,6,195,2672,29,337.2,955.4,1138.0,33,719,242.3,10,0,2,28.8,98
Kelechi,Iheanacho,5,4,61,820,9,174.8,269.8,533.0,7,196,97.6,3,0,1,0.6,57
Kasper,Schmeichel,0,0,148,3060,32,20.0,823.2,2.0,10,658,84.6,12,0,2,13.9,54
Eldin,Jakupovic,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,42
Danny,Ward,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,42
James,Maddison,6,5,125,2624,26,1246.4,642.4,702.0,14,548,259.2,10,0,4,13.3,73
Harvey,Barnes,6,10,126,1881,18,475.0,498.4,784.0,9,377,175.9,8,0,0,2.5,60
Rachid,Ghezzal,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,51
Marc,Albrighton,0,3,35,770,10,284.7,180.0,94.0,1,170,55.9,3,0,2,0.2,51
Demarai,Gray,1,4,36,529,5,182.3,159.4,182.0,0,117,52.2,1,0,1,0.3,50
Wilfred,Ndidi,2,1,77,2332,23,240.7,556.8,192.0,5,394,99.1,11,0,5,1.7,50
Matty,James,0,0,1,5,0,0.1,0.4,0.0,0,3,0.1,0,0,0,0.2,43
Daniel,Amartey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,42
Nampalys,Mendy,0,0,10,268,3,39.1,50.8,9.0,0,67,9.9,1,0,0,0.8,43
Hamza,Choudhury,1,1,32,792,11,68.0,175.2,83.0,0,144,32.6,3,1,2,0.7,43
Ayoze,Pérez,7,5,117,1768,18,398.4,497.4,686.0,9,361,158.4,8,0,0,5.0,60
Ryan,Bennett,0,0,24,723,10,35.8,122.4,16.0,0,126,17.4,2,0,2,0.3,48
James,Justin,0,1,29,650,5,112.8,165.2,30.0,0,134,30.8,3,0,1,0.6,47
Youri,Tielemans,3,6,108,2502,27,650.3,500.0,417.0,5,467,156.8,11,0,2,3.8,61
Andy,King,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,42
Dennis,Praet,1,3,51,1040,12,134.7,181.4,199.0,3,194,51.2,2,0,2,0.1,52
Filip,Benkovic,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,39
Andrew,Robertson,1,9,156,2751,24,820.4,698.8,319.0,16,734,184.0,13,0,2,17.6,70
Trent,Alexander-Arnold,3,14,195,2967,26,1285.7,928.0,391.0,21,841,260.5,14,0,4,42.6,78
Virgil,van Dijk,4,2,165,3060,26,146.0,836.6,396.0,13,746,137.7,15,0,1,44.2,65
Joseph,Gomez,0,0,89,1639,9,90.2,325.2,10.0,7,407,42.6,12,0,5,4.2,53
Joel,Matip,1,0,39,703,5,23.0,198.2,39.0,4,167,26.2,3,0,0,1.1,52
Dejan,Lovren,0,1,18,776,11,28.1,196.6,72.0,0,147,29.8,0,0,1,0.2,53
