assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,0,0,0,174597,0,0,-2,2,0.0,607,252,0,3,0.0,0.0,0,Andre,0.0,0,0,0.0,617,253,32,False,0.0,614,250,0,Joined Charlton Athletic on loan until the end of the season on 2/1. - Expected back 01 Aug,2019-08-04T16:30:15.274646Z,48,0,0,0,174597.jpg,0.0,0,0,Green,0.0,False,None,n,2,7,0.0,601,252,0,440,14,1486,12,0.0,0.0,Green,0
0,0,0,0,0,0,27770,0,0,0,0,0.0,567,226,0,3,0.0,0.0,0,Birkir,0.0,0,0,0.0,580,227,33,False,0.0,576,223,0,Left Aston Villa by mutual consent on 8/8.,2019-08-08T15:30:15.672945Z,45,0,0,0,27770.jpg,0.0,0,0,Bjarnason,0.0,False,None,u,2,7,0.0,549,222,0,754,3,7829,19,0.0,0.0,Bjarnason,0
1,0,28,100,100,1,221239,0,0,-2,2,49.2,309,162,0,3,1.5,2.5,4,Keinan,2.0,3,0,24.2,357,157,34,False,22.2,428,178,253,,2020-02-03T23:00:14.489212Z,43,0,0,0,221239.jpg,1.5,0,0,Davis,0.3,False,None,a,2,7,173.0,189,103,15,30901,5990,37712,2082,0.5,3.5,Davis,0
0,0,34,100,100,0,40564,0,0,-1,1,27.2,366,178,0,3,-0.5,-1.5,0,Henri,0.0,6,0,5.5,427,184,35,False,13.4,441,183,189,,2019-11-08T18:00:15.526636Z,44,0,0,0,40564.jpg,1.2,0,0,Lansbury,0.4,False,None,a,2,7,13.0,388,179,11,69279,26,66791,213,0.0,2.5,Lansbury,0
1,0,41,100,100,2,89274,0,0,-2,2,56.4,303,160,0,3,0.0,-0.5,1,José Ignacio,0.5,4,0,15.0,384,165,36,False,42.6,404,167,313,,2019-10-17T13:00:14.384046Z,58,0,0,0,89274.jpg,1.8,0,0,Peleteiro Romallo,0.2,False,None,a,2,7,55.0,316,154,16,17396,102,28957,588,0.1,2.8,Jota,0
0,3,346,0,0,4,21205,0,0,-2,2,0.3,458,11,1,1,0.0,0.0,0,Tom,0.0,35,0,50.7,251,14,94,False,507.4,76,14,1794,Knee injury - Unknown return date,2020-01-01T15:00:18.235936Z,43,1,0,0,21205.jpg,3.0,0,67,Heaton,2.3,False,None,i,2,7,0.0,513,40,59,295089,73,559440,1693,0.0,13.7,Heaton,0
0,0,32,75,100,0,61603,0,0,-1,1,21.2,379,184,0,3,-0.4,-1.5,0,Daniel,0.0,11,0,4.7,434,187,120,False,18.6,434,181,317,Knock - 75% chance of playing,2020-06-18T17:30:12.445760Z,44,0,0,0,61603.jpg,1.2,0,0,Drinkwater,0.6,False,None,d,2,7,8.0,402,186,6,25719,46,139789,540,0.0,1.4,Drinkwater,1
3,10,376,100,100,4,169359,0,0,-1,1,401.0,64,12,1,2,3.0,5.5,7,Matt,3.5,37,1,97.3,115,24,309,False,450.2,105,38,1868,,2019-12-28T17:00:19.505846Z,44,0,0,0,169359.jpg,3.0,0,0,Targett,2.0,False,None,a,2,7,121.0,236,62,67,329634,2864,262006,37348,0.8,15.2,Targett,3
1,7,180,0,0,6,213345,0,0,-6,6,169.8,190,27,1,4,0.0,0.0,0,Wesley,0.0,31,5,108.3,93,24,428,False,296.2,200,24,1782,Knee injury - Unknown return date,2020-01-01T15:00:18.798443Z,54,0,1,0,213345.jpg,3.2,0,0,Moraes,0.8,False,None,i,2,7,632.0,41,22,67,403747,20,437956,393,0.0,12.4,Wesley,3
0,0,3,100,100,0,79852,0,0,-2,2,0.0,546,49,0,1,-0.5,-1.5,0,Jed,0.0,0,0,0.0,561,65,429,False,0.0,557,65,7,,2019-11-10T16:00:17.790777Z,43,0,0,0,79852.jpg,1.0,0,0,Steer,0.1,False,None,a,2,7,0.0,522,43,1,1565,35,7077,73,0.0,0.2,Steer,0
1,6,417,100,100,4,149484,0,0,-1,1,74.6,275,82,0,2,3.5,6.5,8,Tyrone,4.0,44,2,81.0,152,40,445,False,626.6,37,11,2182,,2020-02-16T16:00:24.633178Z,44,0,0,0,149484.jpg,2.6,0,0,Mings,3.2,False,None,a,2,7,108.0,249,69,64,587085,4249,519045,12309,0.9,14.5,Mings,5
2,1,229,100,100,3,199798,0,0,-2,2,64.7,289,90,0,2,2.5,4.5,6,Ezri,3.0,31,0,46.3,272,92,452,False,283.8,208,80,1363,,2020-02-01T17:30:19.744514Z,43,0,0,0,199798.jpg,2.1,0,0,Konsa Ngoyo,0.1,False,None,a,2,7,113.0,243,65,36,8069,414,8638,197,0.7,8.4,Konsa,2
0,4,252,0,100,3,108156,0,0,-2,2,31.9,349,121,1,2,0.0,-1.5,0,Bjorn,0.0,32,1,44.5,281,96,455,False,329.6,181,66,1446,Achilles injury - Expected back 05 Jul,2020-06-18T17:30:12.858071Z,43,0,0,0,108156.jpg,2.5,0,0,Engels,0.4,False,None,i,2,7,81.0,277,81,42,103762,14,95212,1847,0.0,9.8,Engels,1
2,2,302,75,100,4,203368,0,0,-1,1,225.6,152,35,1,2,-0.4,-1.5,0,Frédéric,0.0,36,0,71.4,178,47,458,False,431.8,121,45,1898,Knee injury - 75% chance of playing,2020-06-18T17:30:12.878185Z,44,0,0,0,203368.jpg,2.1,0,0,Guilbert,0.5,False,None,d,2,7,55.0,314,106,48,104660,24,112798,2033,0.0,10.9,Guilbert,7
2,2,178,100,100,3,148508,0,0,-3,3,262.5,123,76,0,3,0.5,0.5,2,Mahmoud Ahmed,1.0,23,3,114.4,84,49,465,False,287.2,206,81,1356,,2019-08-31T16:30:09.941826Z,52,0,0,0,148508.jpg,2.3,1,0,Ibrahim Hassan,1.1,False,None,a,2,7,596.0,47,23,60,159741,354,295091,1902,0.2,11.5,Trézéguet,2
2,5,317,None,None,6,230046,0,0,-1,1,222.0,155,95,0,3,1.5,2.5,4,Douglas Luiz,2.0,42,3,97.0,117,67,470,False,409.0,134,49,1891,,None,44,0,0,0,230046.jpg,2.7,0,0,Soares de Paulo,4.3,False,None,a,2,7,338.0,91,47,75,882528,7226,657410,21389,0.5,17.0,Douglas Luiz,5
