assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
3,8,551,None,None,15,169359,None,,0,0,6,-6,384.4,56,11,6,,2,2,3.0,2.5,0,Matt,3.0,28,0,95.5,89,18,42,False,475.4,69,22,2504,,None,51,0,0,None,0,,169359.jpg,4.1,0,0,Targett,14.9,False,None,a,2,7,94.0,245,70,116,1684980,11861,598579,29814,0.6,22.7,Targett,6
0,0,0,0,0,0,184386,None,,0,0,0,0,0.0,591,229,None,,0,2,0.0,0.0,0,James,0.0,0,0,0.0,608,228,43,False,0.0,602,228,0,Joined Luton Town on a permanent deal on 1/9,2020-09-02T09:00:10.425295Z,45,0,0,None,0,,184386.jpg,0.0,0,0,Bree,0.0,False,None,u,2,7,0.0,575,224,0,9840,0,10320,3,0.0,0.0,Bree,0
0,0,65,None,None,4,184704,None,,0,0,-2,2,29.9,357,178,None,,0,3,0.5,0.0,0,Marvelous,0.5,1,0,10.1,401,176,44,False,60.4,384,165,442,,None,43,0,0,None,0,,184704.jpg,1.8,0,0,Nakamba,0.4,False,None,a,2,7,10.0,395,185,16,83619,115,97386,418,0.1,3.7,Nakamba,2
0,9,215,100,100,4,193488,1,,0,0,-7,7,275.3,97,67,3,,1,3,1.2,0.7,1,Anwar,1.2,10,6,114.1,62,37,45,False,332.0,164,63,904,,2021-03-06T20:30:26.625281Z,53,0,0,1,0,,193488.jpg,3.8,0,0,El Ghazi,1.0,False,None,a,2,7,534.0,44,24,69,554060,1225,502692,7840,0.2,13.0,El Ghazi,1
0,7,457,100,100,11,199798,None,,1,-1,2,-2,30.5,356,128,None,,1,2,2.8,2.3,1,Ezri,2.8,30,2,72.4,155,40,46,False,523.2,57,16,2295,,2020-12-17T18:30:14.260503Z,47,0,0,None,0,,199798.jpg,3.8,0,0,Konsa Ngoyo,7.1,False,None,a,2,7,168.0,170,36,100,1350086,8451,910816,11959,0.6,21.3,Konsa,2
0,0,0,0,0,0,203368,None,,0,0,-2,2,0.0,552,221,None,,0,2,0.0,0.0,0,Frédéric,0.0,0,0,0.0,575,220,47,False,0.0,567,220,0,Joined Strasbourg on loan until the end of the season on 31/1.,2021-01-31T20:00:26.030939Z,43,0,0,None,0,,203368.jpg,0.0,0,0,Guilbert,0.1,False,None,u,2,7,0.0,532,214,0,2055,0,10080,14,0.0,0.0,Guilbert,0
0,0,0,25,25,0,213345,None,,0,0,0,0,0.0,685,89,None,,0,4,0.0,-0.1,0,Wesley,0.0,0,0,0.0,685,89,48,False,0.0,684,88,0,Lack of match fitness - 25% chance of playing,2020-08-15T10:00:11.458856Z,60,0,0,None,0,,213345.jpg,0.0,0,0,Moraes,0.0,False,None,d,2,7,0.0,684,89,0,1669,58,1961,55,0.0,0.0,Wesley,0
0,0,0,0,0,0,217487,None,,0,0,-1,1,0.0,684,88,None,,0,4,0.0,0.0,0,Mbwana,0.0,0,0,0.0,684,88,49,False,0.0,683,87,0,Joined Fenerbahce on a permanent deal on 25/9,2020-09-25T09:00:10.072147Z,59,0,0,None,0,,217487.jpg,0.0,0,0,Samatta,0.0,False,None,u,2,7,0.0,683,88,0,1633,0,8455,7,0.0,0.0,Samatta,0
0,0,26,100,100,0,221239,None,,-1,1,-3,3,28.4,359,52,None,,0,4,0.8,0.3,1,Keinan,0.8,0,0,12.1,385,51,50,False,12.4,455,56,80,,2020-11-24T23:00:18.514322Z,42,0,0,None,0,,221239.jpg,1.0,0,0,Davis,7.7,False,None,a,2,7,82.0,266,51,8,1211144,8628,1710269,16412,0.2,1.9,Davis,0
0,0,0,0,0,0,223349,None,,0,0,-2,2,0.0,556,70,None,,0,4,0.0,0.0,0,Indiana,0.0,0,0,0.0,578,71,51,False,0.0,570,65,0,Joined Burton Albion on loan until the end of the season on 17/9. - Expected back 01 Jul,2020-09-17T16:30:17.739025Z,43,0,0,None,0,,223349.jpg,0.0,0,0,Vassilev,0.5,False,None,u,2,7,0.0,536,69,0,63562,0,163216,224,0.0,0.0,Vassilev,0
