id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
4105,Raúl Jiménez,4,360,2,1.6677679270505905,0,0.2900322377681732,13,1,0,0,F,Wolverhampton Wanderers,2,1.6677679270505905,1.714500680565834,0.1865030750632286
4381,Mateusz Klich,4,341,2,0.8535995986312628,1,0.2891886308789253,3,6,1,0,M,Leeds,1,0.09243076108396053,1.3812848702073097,1.0580576732754707
4476,Callum Robinson,4,280,2,0.17957575246691704,0,0.15310035645961761,4,2,0,0,F,West Bromwich Albion,2,0.17957575246691704,0.47290290892124176,0.1402267962694168
101,Allan Saint-Maximin,3,185,1,0.1061499621719122,1,0.605347216129303,2,2,0,0,M,Newcastle United,1,0.1061499621719122,1.3289116621017456,0.6174144148826599
318,Pierre-Emerick Aubameyang,4,360,1,0.40085896477103233,1,0.5401592627167702,6,4,1,0,F,Arsenal,1,0.40085896477103233,1.6839855313301086,0.8246762752532959
447,Kevin De Bruyne,3,270,1,1.419251799583435,1,1.0892208963632584,11,14,0,0,M,Manchester City,0,0.658082902431488,2.1061787009239197,1.015587568283081
532,Cheikhou Kouyaté,4,360,1,0.5897091627120972,0,0.02308344841003418,3,1,0,0,D,Crystal Palace,1,0.5897091627120972,0.3332750201225281,0.3101915717124939
556,Marcus Rashford,3,270,1,0.6679028458893299,0,0.09183554537594318,3,4,0,0,M,Manchester United,1,0.6679028458893299,0.7263709418475628,0.0586063377559185
579,Nathan Aké,3,198,1,0.40184661746025085,0,0.017229333519935608,1,1,1,0,D S,Manchester City,1,0.40184661746025085,0.74675502628088,0.7295256927609444
592,Ross Barkley,3,125,1,0.8144980985671282,0,0.11523915827274323,7,1,0,0,M S,"Aston Villa,Chelsea",1,0.8144980985671282,1.2707500010728836,0.37442540377378464
618,Raheem Sterling,3,264,1,0.771386943757534,1,0.8492115437984467,9,6,0,0,F M,Manchester City,1,0.771386943757534,1.8692119419574738,0.5452227741479874
669,Ashley Westwood,3,270,1,0.021915754303336143,0,0.12290789932012558,1,3,0,0,M,Burnley,1,0.021915754303336143,0.9265605472028255,0.9184870384633541
702,Tammy Abraham,3,190,1,1.76573496311903,0,0.02808239497244358,8,1,0,0,F S,Chelsea,1,1.76573496311903,1.036410354077816,0
750,Riyad Mahrez,2,168,1,0.21332968026399612,1,0.6659247577190399,5,5,0,0,F M,Manchester City,1,0.21332968026399612,0.7172150313854218,0.4294137805700302
775,Andros Townsend,4,360,1,0.506249725818634,2,1.233360432088375,4,7,0,0,M,Crystal Palace,1,0.506249725818634,1.397951953113079,0.308651901781559
782,Ben Chilwell,1,90,1,0.07505641877651215,1,0.12182363122701645,2,3,0,0,D,Chelsea,1,0.07505641877651215,0.5974909067153931,0.5224344730377197
833,Virgil van Dijk,4,360,1,0.5533826053142548,0,0,4,0,1,0,D,Liverpool,1,0.5533826053142548,1.4130011945962906,1.2918415814638138
842,Oriol Romeu,4,328,1,0.09434987604618073,0,0.04534274339675903,2,2,1,0,M,Southampton,1,0.09434987604618073,1.3717347607016563,1.27149348706007
964,Kyle Bartley,4,360,1,0.5151028633117676,0,0,1,0,0,0,D,West Bromwich Albion,1,0.5151028633117676,0.20601963251829147,0.20601963251829147
1024,Tyrone Mings,3,270,1,0.4818572960793972,1,0.05225217342376709,3,1,1,0,D,Aston Villa,1,0.4818572960793972,0.6535846665501595,0.6535846665501595
1234,Dennis Praet,3,230,1,0.29332757741212845,1,0.7270690724253654,5,4,0,0,M,Leicester,1,0.29332757741212845,1.2144489958882332,0.9433815777301788
1653,Michael Keane,4,360,1,1.0089716911315918,0,0.08959853649139404,2,1,0,0,D,Everton,1,1.0089716911315918,1.2079623825848103,1.1183638609945774
1688,Andrew Robertson,4,360,1,0.8524851128458977,1,0.5700447671115398,4,5,0,0,D,Liverpool,1,0.8524851128458977,2.0561393648386,1.1153008341789246
1746,Jeff Hendrick,4,347,1,0.2491741869598627,1,0.7870321273803711,4,1,0,0,M,Newcastle United,1,0.2491741869598627,1.6476862505078316,0.627473384141922
2335,Pablo Fornals,4,337,1,0.9868924021720886,2,0.8815806433558464,5,5,1,0,M,West Ham,1,0.9868924021720886,2.66714109480381,0.8539982661604881
2381,Rodrigo,4,150,1,0.8290164098143578,0,0.22517673671245575,6,2,0,0,M S,Leeds,1,0.8290164098143578,1.0614887699484825,0.6842831969261169
3293,Lucas Moura,4,277,1,0.8460060954093933,0,0.1194024309515953,5,1,0,0,F M S,Tottenham,1,0.8460060954093933,1.7927674651145935,0.8540714979171753
3491,Romain Saiss,4,360,1,0.4559383224695921,0,0,4,0,0,0,D M,Wolverhampton Wanderers,1,0.4559383224695921,0.5435260087251663,0.2534937635064125
3600,Serge Aurier,1,90,1,0.4603444039821625,1,0.14293533563613892,3,1,0,0,D,Tottenham,1,0.4603444039821625,0.5147440433502197,0.16893549263477325
4456,Chris Wood,3,270,1,0.866416547447443,0,0,6,0,0,0,F,Burnley,1,0.866416547447443,1.0205075442790985,0.15409096702933311
5543,Gabriel Jesus,1,90,1,0.23593679070472717,0,0.24416884779930115,3,1,1,0,F,Manchester City,1,0.23593679070472717,1.0407638549804688,0.5606581568717957
5609,Yves Bissouma,3,270,1,0.082302525639534,0,0,6,0,0,1,M,Brighton,1,0.082302525639534,0.5288396961987019,0.48511624708771706
5613,Gabriel,3,270,1,0.5060973167419434,0,0,1,0,0,0,D,Arsenal,1,0.5060973167419434,1.0235148221254349,1.0235148221254349
5656,Nicolas Pepe,4,90,1,0.1393539495766163,0,0.07018397003412247,2,1,0,0,S,Arsenal,1,0.1393539495766163,0.5073349885642529,0.36798104643821716
5956,Youri Tielemans,4,360,1,0.8410591222345829,0,0.07540557533502579,3,2,1,0,M,Leicester,0,0.07989028468728065,0.809759259223938,0.7431169003248215
